"filename", "language", "YAML", "Markdown", "C#", "XML", "JSON", "Shell Script", "Batch", "JSON with Comments", "Properties", "TypeScript", "ASP.NET Razor", "HTML", "Docker", "CSS", "comment", "blank", "total"
"d:\диплом\treadnetattemp2\README.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\диплом\treadnetattemp2\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\AssemblyReference.cs", "C#", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\EmailSender.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\EmailTemplatesSender.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\EmbeddedResourceHelper.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\InMemoryRazorLightProject.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Helper\RazorParser.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\IEmailSender.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\IEmailTemplatesSender.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Models\PostWasLikedModel.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Emails\Templates\PostWasLikedTemplate.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\ExpiredRefreshTokenException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\FailedSendingException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\InvalidTokenException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\InvalidUsernameOrPasswordException.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Exceptions\NotFoundException.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Hubs\IHubClient.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Hubs\PostHub.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\JWT\JwtFactory.cs", "C#", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 145
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\CommentProfile.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\PostProfile.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\ReactionProfile.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\MappingProfiles\UserProfile.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\Abstract\BaseService.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\Abstract\IDateTimeProvider.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\AccountsService.cs", "C#", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\AuthService.cs", "C#", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 126
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\CommentService.cs", "C#", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\DateTimeProvider.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\LikeService.cs", "C#", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 94
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\PostService.cs", "C#", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 104
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\UserService.cs", "C#", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 115
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Thread.NET.BLL.csproj", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Auth\AccessToken.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Auth\JwtIssuerOptions.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 55
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\AccessTokenDTO.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\RefreshTokenDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\RevokeRefreshTokenDTO.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Comment\CommentDTO.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Comment\EditCommentDTO.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Comment\NewCommentDTO.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Email\SendEmailDTO.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Email\SendEmailOptions.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Like\NewReactionDTO.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Like\ReactionDTO.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Post\EditPostDTO.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Post\GetPostsDto.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Post\PostCreateDTO.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Post\PostDTO.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\AuthUserDTO.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\ForgotPasswordDTO.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\ResetPasswordDTO.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\UserDTO.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\UserLoginDTO.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\User\UserRegisterDTO.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Logic\Abstractions\IUserIdGetter.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Logic\Abstractions\IUserIdSetter.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Security\SecurityHelper.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 52
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Security\SecurityProvider\DeterministicRandomGenerator.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Thread.NET.Common.csproj", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Context\ModelBuilderExtensions.cs", "C#", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 219
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Context\ThreadContext.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\Abstract\BaseEntity.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\Abstract\Reaction.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\Comment.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\CommentReaction.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\Image.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\Post.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\PostReaction.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\RefreshToken.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Entities\User.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230626224321_Initial.Designer.cs", "C#", 0, 0, 1488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106, 1595
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230626224321_Initial.cs", "C#", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 445
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230709124357_AddedSoftDelete.Designer.cs", "C#", 0, 0, 1643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 113, 1757
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230709124357_AddedSoftDelete.cs", "C#", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 93
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230711202558_AddedResetPasswordTokenToUser.Designer.cs", "C#", 0, 0, 1645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 114, 1760
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\20230711202558_AddedResetPasswordTokenToUser.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Migrations\ThreadContextModelSnapshot.cs", "C#", 0, 0, 1643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 114, 1758
"d:\диплом\treadnetattemp2\backend\Thread.NET.DAL\Thread.NET.DAL.csproj", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\AccountsController.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\AuthController.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 40
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\CommentsController.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 61
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\PostsController.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 90
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\RegisterController.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 41
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\TokenController.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 42
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Controllers\UsersController.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 74
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Enums\ErrorCode.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\диплом\treadnetattemp2\backend\Thread.NET.WebAPI\Extensions\ControllerBaseExtensions.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
